Fayl nomi,Tasnifi,Aniqlik Ko'rsatkichi,Natija
tumaris_1_bolim_0001.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_0cLOO77.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_3AZ7aGr.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_BguUUsY.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_HDfyGP1.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_HzAU7nY.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_MJy5TG0.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_MS5lR27.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_YHku3LL.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_eZSHqCc.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_g2QJTmL.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_gDPR7pV.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_v1lkzlI.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0001_wwi0thP.wav,1,6.08,Sifatsiz
tumaris_1_bolim_0002.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_2i0HOD9.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_4TorQRQ.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_5dsu9OL.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_6D9c1nt.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_7424JR6.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_IGROisM.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_MQnFu05.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_SG9eoMs.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_ZJKoDPP.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_bwUWjmm.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_jVXhBZN.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_quCkBBD.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0002_wBvPWPm.wav,1,6.37,Sifatsiz
tumaris_1_bolim_0003.wav,0,5.88,Toza
tumaris_1_bolim_0003_5ObuN4X.wav,0,5.88,Toza
tumaris_1_bolim_0003_5qBSZy1.wav,0,5.88,Toza
tumaris_1_bolim_0003_9aVgrmd.wav,0,5.88,Toza
tumaris_1_bolim_0003_FlEzzBl.wav,0,5.88,Toza
tumaris_1_bolim_0003_H9gqUoF.wav,0,5.88,Toza
tumaris_1_bolim_0003_MZobSRe.wav,0,5.88,Toza
tumaris_1_bolim_0003_O1oR9nV.wav,0,5.88,Toza
tumaris_1_bolim_0003_UdnByC0.wav,0,5.88,Toza
tumaris_1_bolim_0003_cpCrdug.wav,0,5.88,Toza
tumaris_1_bolim_0003_j2Ig9QP.wav,0,5.88,Toza
tumaris_1_bolim_0003_v4AQCvq.wav,0,5.88,Toza
tumaris_1_bolim_0003_yc86Tlv.wav,0,5.88,Toza
tumaris_1_bolim_0003_z4VTQWi.wav,0,5.88,Toza
tumaris_1_bolim_0004.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_6mzOWbe.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_D4tbxzr.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_FiBI3XL.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_H419vRN.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_JDidcnC.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_Lx5x4Dy.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_MFaZUFU.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_a0rOMhL.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_bdf9tsM.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_dT4CAHJ.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_gUgZx2O.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_izpG3YA.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0004_ucOWXd2.wav,1,6.25,Sifatsiz
tumaris_1_bolim_0007.wav,0,5.76,Toza
tumaris_1_bolim_0007_FPnPOKl.wav,0,5.76,Toza
tumaris_1_bolim_0008.wav,0,5.77,Toza
tumaris_1_bolim_0009.wav,0,5.81,Toza
tumaris_1_bolim_0009_0ADKIOM.wav,0,5.81,Toza
tumaris_1_bolim_0009_Ahp556l.wav,0,5.81,Toza
tumaris_1_bolim_0009_IwfQeGQ.wav,0,5.81,Toza
tumaris_1_bolim_0009_MDAgDYV.wav,0,5.81,Toza
tumaris_1_bolim_0009_RpZzxvb.wav,0,5.81,Toza
tumaris_1_bolim_0009_VCxsP3P.wav,0,5.81,Toza
tumaris_1_bolim_0009_gQFQCqg.wav,0,5.81,Toza
tumaris_1_bolim_0009_gqjeesv.wav,0,5.81,Toza
tumaris_1_bolim_0009_kpmM4ju.wav,0,5.81,Toza
tumaris_1_bolim_0009_qMjCp53.wav,0,5.81,Toza
tumaris_1_bolim_0009_sQkO8nW.wav,0,5.81,Toza
tumaris_1_bolim_0009_tYDQOyY.wav,0,5.81,Toza
tumaris_1_bolim_0009_xYGbrF7.wav,0,5.81,Toza
tumaris_1_bolim_0010.wav,0,5.72,Toza
tumaris_1_bolim_0011.wav,0,5.70,Toza
tumaris_1_bolim_0012.wav,0,5.87,Toza
